,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
2080,Beef and vegetables excluding carrots,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",27410220,14,55,24,5.16,27,42.3,1.1,239,0,1.952,10.03,0,0.079,9.8,0.99,0.034,76.48,2.958,1.925,1.632,7.09,12,0.047,0.99,16,80,154,324,1.74,6,0.51,0.153,1.5,0.64,13.1
2081,Beef shish kabob with vegetables,"Beef shish kabob with vegetables, excluding potatoes",27410250,2,87,19,5.0,41,57.6,0.9,38,0,2.898,14.7,0,0.111,15.4,2.33,0.06,74.27,2.037,0.507,1.661,4.9,14,0.102,1.43,16,111,231,208,2.52,8,0.77,0.268,12.8,0.38,5.7
2082,Beef with vegetables including carrots,"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",27411100,577,1480,2,4.48,21,35.5,1.7,285,6443,1.837,8.24,0,0.086,7.8,2.51,0.04,78.86,2.859,2.111,1.466,6.99,19,0.088,1.22,15,70,248,300,1.4,149,0.4,0.172,9.8,1.67,22.8
2083,Swiss steak,Swiss steak,27411120,126,389,0,3.55,31,41.3,0.9,46,800,2.074,10.82,0,0.117,10.8,1.16,0.229,75.71,3.434,1.123,2.603,8.1,17,0.064,1.31,16,110,262,242,1.69,37,1.05,0.163,4.3,0.57,5.9
2084,Beef rolls,"Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce",27411150,362,910,0,6.46,56,78.5,0.7,42,1133,3.688,20.53,1,0.196,22.9,1.23,0.142,61.08,3.845,0.432,3.373,9.04,13,0.104,2.18,24,195,383,349,3.12,92,2.04,0.311,1.6,0.39,4.5
2085,Beef with vegetables excluding carrots,"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",27411200,10,150,19,5.96,19,34.4,1.4,181,5957,1.816,7.67,0,0.085,7.2,2.23,0.035,77.85,2.966,2.248,1.455,7.18,14,0.081,1.12,18,68,237,301,1.33,14,0.37,0.151,4.1,1.31,12.9
2089,Beef and broccoli,Beef and broccoli,27415110,12,167,0,5.31,25,42.9,1.4,649,0,2.086,10.55,0,0.128,10.9,1.39,0.057,71.66,4.384,3.654,1.945,10.65,34,0.066,1.25,24,117,307,439,2.4,14,0.65,0.217,39.2,1.51,62.7
2091,Szechuan beef,Szechuan beef,27415130,323,595,1,7.29,14,34.5,1.5,268,4,1.32,7.08,0,0.055,6.7,2.41,0.033,78.82,1.217,2.13,0.978,5.3,22,0.049,1.11,15,76,204,409,1.5,63,0.48,0.161,11.6,0.82,51.3
2092,Hunan beef,Hunan beef,27415140,323,595,1,7.29,14,34.5,1.5,268,4,1.32,7.08,0,0.055,6.7,2.41,0.033,78.82,1.217,2.13,0.978,5.3,22,0.049,1.11,15,76,204,409,1.5,63,0.48,0.161,11.6,0.82,51.3
2093,Beef chow mein or chop suey,"Beef chow mein or chop suey, no noodles",27415150,19,99,0,3.85,25,36.9,0.8,119,0,2.956,10.76,1,0.161,9.2,1.76,0.039,81.66,0.908,0.716,0.748,2.61,22,0.041,1.23,11,109,218,253,1.62,10,0.67,0.315,4.8,0.43,13.3
2094,Kung Pao beef,Kung Pao beef,27415170,2,159,41,4.79,46,66.6,1.1,49,0,4.353,18.34,0,0.125,17.1,1.46,0.057,61.06,6.532,3.431,3.205,14.58,16,0.098,1.62,29,142,242,180,2.95,15,0.89,0.287,10.8,1.36,15.3
2097,Beef and vegetables,"Beef and vegetables, Hawaiian style",27416100,380,944,3,14.13,7,17.7,1.8,28,0,1.398,4.33,0,0.081,3.1,5.6,0.041,76.63,0.498,0.362,0.396,1.48,49,0.121,0.94,39,78,267,676,0.78,95,0.09,0.152,1.9,0.86,3.6
2098,Pepper steak,Pepper steak,27416150,7,101,2,4.42,32,46.0,0.7,173,0,2.256,11.87,0,0.083,11.7,1.67,0.054,73.47,3.806,2.578,2.03,9.12,17,0.065,1.24,16,89,202,244,1.96,9,0.61,0.256,23.0,1.01,20.5
2100,Beef salad,Beef salad,27416250,7,92,18,2.82,61,75.5,0.4,82,0,2.636,17.9,3,0.128,18.5,2.1,0.042,58.92,5.098,9.436,3.85,19.32,19,0.077,1.62,15,118,204,335,4.28,12,1.3,0.187,0.8,1.0,46.1
2101,Beef taco filling: beef,"Beef taco filling: beef, cheese, tomato, taco sauce",27416300,21,207,0,6.33,44,34.1,0.9,49,3668,2.245,12.99,51,0.154,11.7,4.06,0.052,65.96,3.836,0.405,5.26,11.32,130,0.076,1.16,17,160,273,472,2.65,69,1.07,0.207,6.6,0.75,6.2
2102,Stir fried beef and vegetables in soy sauce,Stir fried beef and vegetables in soy sauce,27416400,0,41,2,4.25,67,66.4,0.9,137,0,3.111,10.85,20,0.195,15.2,2.6,0.058,79.87,1.412,0.402,1.429,3.68,24,0.128,1.1,18,124,255,342,1.84,23,0.46,0.251,3.2,0.37,18.7
2105,Seasoned shredded soup meat,Seasoned shredded soup meat,27418110,23,123,1,3.64,45,64.0,0.9,86,485,2.83,18.22,0,0.134,19.6,1.74,0.079,63.54,4.677,2.748,4.094,12.79,14,0.112,2.36,21,183,331,235,3.9,11,1.61,0.199,17.0,0.92,4.2
2106,Beef stew with vegetables excluding potatoes,"Beef stew with vegetables excluding potatoes, Puerto Rican style",27418210,420,1178,1,6.73,41,61.7,2.2,400,1468,2.771,15.08,0,0.145,13.4,2.78,0.09,60.86,5.921,2.923,3.912,14.14,21,0.115,1.82,26,162,385,572,2.39,116,1.38,0.247,13.7,1.24,20.4
2107,Corned beef with tomato sauce and onion,"Corned beef with tomato sauce and onion, Puerto Rican style",27418310,0,32,0,2.04,60,57.9,0.4,4,1735,1.831,19.18,0,0.114,30.0,1.08,0.022,65.94,4.956,1.243,4.574,12.36,14,0.066,1.61,13,85,155,688,2.54,3,1.07,0.115,1.7,0.52,3.8
2108,Beef steak with onions,"Beef steak with onions, Puerto Rican style",27418410,0,1,0,3.94,62,79.3,0.7,3,0,3.022,20.92,0,0.163,19.8,1.55,0.087,46.21,8.484,7.153,6.202,24.12,17,0.096,2.01,23,191,352,999,3.3,0,2.24,0.334,2.4,1.94,2.4
2109,Cabbage with ham hocks,Cabbage with ham hocks,27420010,22,28,0,4.5,20,35.3,1.7,20,0,2.226,7.97,2,0.108,9.3,2.69,0.184,83.68,1.082,0.347,0.812,2.49,30,0.066,0.71,15,106,230,346,0.87,5,0.17,0.214,21.6,0.2,52.8
2110,Ham or pork salad,Ham or pork salad,27420020,7,90,18,2.75,37,61.2,0.4,80,0,2.677,13.31,3,0.15,13.7,2.06,0.358,63.0,4.743,9.418,3.337,18.09,14,0.061,0.62,14,128,226,985,1.39,12,0.39,0.262,0.7,0.89,44.3
2111,Frankfurters or hot dogs and sauerkraut,Frankfurters or hot dogs and sauerkraut,27420040,2,3,0,3.52,38,24.7,1.1,113,0,1.369,7.94,2,0.103,6.9,1.5,0.026,67.68,7.854,0.644,7.408,18.22,21,0.066,1.3,12,87,277,791,1.41,2,0.54,0.117,5.1,0.38,6.2
2112,Pork and vegetables including carrots,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",27420060,898,2114,0,3.14,29,41.4,1.5,426,0,2.334,11.2,1,0.147,13.0,1.33,0.387,77.05,3.076,1.852,1.792,7.27,24,0.051,0.67,16,109,234,317,1.06,216,0.26,0.25,10.4,1.06,28.7
2113,Greens with ham or pork,Greens with ham or pork,27420080,6,2627,23,4.68,7,18.5,3.6,4804,0,1.539,4.91,2,0.208,5.4,0.84,0.114,86.78,0.317,0.407,0.277,1.41,205,0.086,1.1,30,73,303,370,0.5,222,0.05,0.193,40.5,1.46,363.7
2115,Pork and vegetables,"Pork and vegetables, Hawaiian style",27420110,331,845,0,7.33,18,28.1,1.7,130,0,1.625,7.37,0,0.11,9.7,2.34,0.247,80.61,1.331,0.972,0.978,3.63,26,0.131,0.66,19,81,245,192,0.92,85,0.16,0.228,3.5,0.56,20.8
2116,Pork and watercress with soy-based sauce,Pork and watercress with soy-based sauce,27420120,0,37,0,3.46,39,51.1,0.5,71,0,3.154,14.87,1,0.182,17.5,1.05,0.507,67.59,5.425,3.668,2.807,12.69,24,0.057,0.82,21,142,295,341,1.35,4,0.36,0.332,3.1,1.07,23.5
2117,Kung Pao pork,Kung Pao pork,27420150,2,159,41,4.79,41,57.2,1.1,49,0,4.623,17.3,1,0.209,18.9,1.46,0.536,61.79,6.777,3.63,3.253,14.89,22,0.09,0.89,33,171,330,189,1.6,16,0.4,0.362,11.1,1.25,14.5
2118,Moo Shu pork,"Moo Shu pork, without Chinese pancake",27420160,1,478,3,4.04,92,78.4,0.9,172,0,2.031,10.43,31,0.239,15.7,1.79,0.243,72.08,4.276,3.826,1.938,10.61,45,0.092,1.14,25,140,265,818,1.08,71,0.28,0.274,10.3,1.27,35.1
2119,Pork and onions with soy-based sauce,Pork and onions with soy-based sauce,27420170,0,27,0,5.51,28,38.6,0.8,52,0,2.308,11.05,1,0.137,12.7,2.17,0.376,73.16,3.893,2.649,2.019,9.14,24,0.061,0.66,19,112,261,245,1.03,3,0.26,0.276,3.8,0.77,17.0
2120,Pork hash,Pork hash,27420200,1,26,0,1.89,56,45.3,0.5,47,0,2.838,12.96,4,0.198,19.7,0.56,0.296,69.6,6.007,1.907,4.429,13.65,20,0.097,0.93,17,146,264,486,1.98,6,0.44,0.189,2.6,0.45,14.3
2121,Ham and vegetables including carrots broccoli,"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce",27420250,740,1742,0,2.59,18,31.2,1.2,351,0,2.0,7.45,0,0.121,6.1,1.1,0.234,79.45,3.608,2.739,1.699,8.28,17,0.069,0.63,12,99,188,767,0.86,178,0.21,0.134,8.4,1.19,26.6
2122,Ham and vegetables excluding carrots,"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",27420270,14,55,24,5.12,18,33.5,1.1,237,0,2.173,7.56,0,0.129,6.1,0.98,0.231,77.34,3.449,2.55,1.641,7.83,13,0.068,0.63,16,105,200,757,0.91,6,0.21,0.124,1.5,0.7,13.5
2123,Pork and vegetables excluding carrots,"Pork and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",27420350,15,59,26,5.52,26,39.3,1.2,255,0,2.258,10.07,1,0.138,11.5,1.06,0.341,76.16,3.004,1.875,1.673,7.03,17,0.044,0.6,19,103,221,319,1.0,7,0.24,0.212,1.8,0.53,12.7
2125,Pork chow mein or chop suey,"Pork chow mein or chop suey, no noodles",27420390,19,99,0,3.85,27,43.1,0.8,119,0,2.284,10.34,1,0.174,11.8,1.76,0.349,80.49,1.701,0.868,1.354,4.3,23,0.041,0.64,15,102,231,250,0.96,9,0.24,0.24,5.0,0.4,12.7
2127,Pork and vegetables excluding  carrots,"Pork and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",27420410,11,162,20,6.44,19,32.9,1.5,195,6441,2.087,7.81,0,0.13,8.6,2.42,0.257,77.23,2.995,2.204,1.489,7.14,18,0.084,0.88,21,87,297,305,0.82,15,0.17,0.198,4.6,1.27,12.7
2128,Sausage and vegetables including  carrots,"Sausage and vegetables including  carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",27420450,592,1518,2,4.94,20,23.5,1.7,292,6608,2.065,5.56,7,0.091,5.4,2.83,0.086,78.72,3.436,1.989,2.357,8.34,20,0.09,0.92,15,61,276,675,0.79,159,0.23,0.127,10.1,1.45,19.3
2129,Sausage and vegetables,"Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",27420460,11,167,21,6.94,20,25.2,1.6,200,6608,2.195,5.62,7,0.097,5.4,2.74,0.083,76.72,3.462,1.99,2.358,8.34,16,0.089,0.92,18,65,285,665,0.82,22,0.23,0.118,4.5,1.1,9.3
2130,Sausage and peppers,"Sausage and peppers, no sauce",27420470,5,55,2,3.26,61,54.9,0.3,89,0,4.006,13.99,14,0.19,15.4,1.88,0.235,60.88,8.779,3.778,6.929,19.87,11,0.072,1.09,16,109,263,551,1.85,19,0.76,0.285,15.4,0.73,2.4
2133,Pork shish kabob with vegetables,"Pork shish kabob with vegetables, excluding potatoes",27420520,2,87,19,5.0,37,49.3,0.9,38,0,3.139,13.78,1,0.186,17.0,2.33,0.487,74.91,2.255,0.685,1.704,5.18,19,0.095,0.78,20,136,309,216,1.32,9,0.33,0.336,13.0,0.28,5.0
2134,Stuffed christophine,"Stuffed christophine, Puerto Rican style",27421010,6,43,2,4.44,100,76.3,1.5,111,122,2.426,12.62,26,0.231,19.5,1.72,0.264,65.27,7.997,1.908,4.89,16.11,34,0.148,1.21,22,152,307,334,2.23,30,0.44,0.232,9.3,0.9,7.1
2135,Pork chop stewed with vegetables,"Pork chop stewed with vegetables, Puerto Rican style",27422010,18,91,6,5.22,27,42.1,1.3,186,779,2.597,10.82,1,0.151,17.2,2.52,0.441,79.26,1.411,0.451,1.001,3.17,26,0.059,0.73,18,116,286,411,0.98,9,0.22,0.212,5.1,0.33,5.3
2136,Lamb or mutton stew with vegetables including carrots,"Lamb or mutton stew with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",27430400,376,809,0,6.37,39,56.1,1.8,248,0,2.543,13.52,0,0.142,13.7,1.28,0.059,74.77,1.502,0.375,1.348,3.79,17,0.097,1.4,19,98,173,361,2.64,83,0.97,0.075,1.2,0.23,10.8
2137,Lamb or mutton stew with vegetables excluding carrots,"Lamb or mutton stew with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",27430410,8,486,0,6.83,39,57.4,1.8,933,0,2.787,14.41,0,0.135,14.0,1.77,0.142,73.33,1.508,0.397,1.355,3.83,17,0.106,1.68,19,108,150,376,2.71,41,0.97,0.091,3.8,0.1,11.0
2138,Veal goulash with vegetables excluding carrots,"Veal goulash with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",27430500,0,58,4,2.79,45,48.8,0.4,22,1362,5.376,12.59,0,0.17,5.7,1.07,0.057,79.72,1.384,0.873,0.935,3.61,9,0.078,0.62,19,136,272,226,1.39,5,0.42,0.203,11.4,0.45,4.8
2139,Veal goulash with vegetables including carrots,"Veal goulash with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",27430510,228,602,4,2.59,47,50.4,0.4,40,1407,5.61,12.96,0,0.177,5.9,1.0,0.059,79.35,1.43,0.908,0.964,3.74,9,0.08,0.64,19,140,289,238,1.43,60,0.44,0.208,11.5,0.51,5.9
2140,Veal with vegetables including carrots,"Veal with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream or white sauce",27430580,466,1167,0,5.98,36,39.4,0.8,221,0,2.518,9.36,53,0.158,5.0,2.76,0.064,76.28,2.177,1.243,2.72,6.73,62,0.047,0.53,16,107,229,308,1.07,170,0.41,0.182,11.3,0.85,21.1
2141,Veal with vegetables excluding carrots,"Veal with vegetables excluding carrots, broccoli, and dark-green leafy; and potatoes, cream or white sauce",27430590,14,80,20,6.68,39,45.7,0.9,218,0,3.066,10.67,33,0.154,5.0,2.22,0.054,74.78,2.184,1.389,2.172,6.27,40,0.059,0.66,20,108,209,306,1.24,41,0.4,0.171,2.4,0.69,12.9
2142,Lamb shish kabob with vegetables,"Lamb shish kabob with vegetables, excluding potatoes",27430610,2,87,19,5.0,39,48.1,0.9,38,0,3.079,12.12,0,0.155,14.0,2.33,0.069,75.95,2.273,0.771,1.961,5.7,19,0.12,1.25,18,114,236,221,2.9,8,1.22,0.154,12.8,0.27,7.0
2143,Chicken or turkey and vegetables including carrots,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",27440110,823,1937,0,2.88,37,27.4,1.4,390,0,2.702,9.66,3,0.086,8.2,1.22,0.042,78.41,3.208,2.663,1.305,7.78,21,0.049,0.5,13,96,166,386,0.67,200,0.12,0.129,9.3,1.3,28.9
2144,Chicken or turkey and vegetables excluding carrots,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",27440120,14,54,24,5.08,33,26.6,1.1,235,0,2.582,8.72,2,0.084,7.3,0.98,0.034,77.07,3.32,2.794,1.306,7.96,14,0.043,0.45,16,92,160,379,0.65,9,0.11,0.104,1.5,0.84,14.6
2145,Chicken or turkey shish kabob with vegetables,"Chicken or turkey shish kabob with vegetables, excluding potatoes",27440130,2,87,19,5.0,51,34.8,0.9,38,0,3.909,12.95,4,0.12,11.9,2.33,0.06,77.17,1.527,0.765,0.832,3.71,17,0.097,0.62,18,131,243,346,0.9,12,0.16,0.198,12.8,0.38,5.0
2146,Chicken or turkey creole,"Chicken or turkey creole, without rice",27441120,2,138,1,2.96,55,36.9,1.1,65,2801,4.163,13.82,4,0.122,12.2,1.83,0.215,77.76,1.749,0.907,0.934,4.22,24,0.076,0.74,19,131,277,363,0.89,16,0.18,0.195,10.7,0.76,4.3
2149,Chicken or turkey a la king with vegetables including carrots,"Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce",27443110,556,1307,1,6.81,78,46.7,0.6,144,0,2.331,9.37,114,0.171,11.0,2.57,0.076,68.68,5.247,2.515,4.473,13.67,63,0.033,0.58,14,127,186,428,0.72,246,0.24,0.12,2.6,1.1,10.0
2150,Chicken or turkey a la king with vegetables excluding carrorts,"Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce",27443120,7,94,1,6.35,77,47.9,0.5,44,0,2.463,9.53,101,0.178,11.7,2.46,0.077,69.26,5.152,2.501,4.228,13.25,59,0.067,0.66,14,132,170,482,0.79,109,0.24,0.103,2.0,0.95,7.9
2151,Chicken or turkey divan,Chicken or turkey divan,27443150,8,264,1,3.99,70,45.3,1.3,481,0,3.445,15.51,46,0.169,14.5,0.96,0.064,71.98,2.546,0.987,2.63,7.23,97,0.05,0.7,19,182,206,296,1.2,68,0.27,0.171,16.9,0.96,38.8
2156,General Tso chicken,General Tso chicken,27445150,2,37,9,23.99,53,41.5,0.9,99,20,2.853,12.9,7,0.118,14.4,11.6,0.027,45.15,3.879,7.501,2.76,16.36,12,0.046,1.16,18,127,201,435,1.3,11,0.22,0.202,1.6,1.21,38.2
2157,Moo Goo Gai Pan,Moo Goo Gai Pan,27445180,3,92,0,4.69,17,22.5,1.2,167,0,2.789,7.15,2,0.148,8.5,2.01,0.047,84.83,0.845,0.813,0.394,2.43,10,0.117,0.48,11,78,197,106,0.47,10,0.04,0.242,6.5,0.65,16.7
2158,Kung pao chicken,Kung pao chicken,27445220,341,601,16,6.87,26,37.4,1.5,226,0,2.757,9.76,0,0.055,8.1,3.03,0.032,74.78,2.173,3.02,1.352,6.98,20,0.073,0.76,24,94,218,402,0.74,65,0.11,0.243,7.1,1.02,13.6
2159,Almond chicken,Almond chicken,27445250,2,160,41,4.69,57,39.9,1.2,50,0,4.616,16.07,4,0.212,12.7,1.44,0.051,64.65,6.401,3.938,1.969,13.3,36,0.143,0.87,38,172,260,335,1.16,19,0.21,0.181,10.9,2.8,14.6
2160,Chicken or turkey chow mein or chop suey,"Chicken or turkey chow mein or chop suey, no noodles",27446100,19,99,0,3.84,37,32.6,0.8,119,0,2.858,9.78,3,0.126,8.2,1.76,0.037,82.1,1.172,0.926,0.719,3.23,21,0.043,0.52,14,99,183,344,0.66,11,0.12,0.139,4.8,0.47,12.6
2161,Chicken or turkey salad,"Chicken or turkey salad, made with mayonnaise",27446200,7,92,18,2.8,66,42.4,0.4,82,0,3.941,13.97,7,0.111,12.7,2.1,0.042,63.07,4.874,9.739,3.233,18.76,18,0.049,0.51,15,131,206,480,0.88,16,0.21,0.145,0.8,0.98,45.1
2162,Chicken or turkey salad with nuts and/or fruits,Chicken or turkey salad with nuts and/or fruits,27446205,6,80,14,5.95,53,37.8,1.1,76,0,3.4,12.51,6,0.161,10.5,4.08,0.055,62.35,5.631,8.526,2.82,17.85,31,0.113,0.66,27,134,232,388,0.89,13,0.17,0.136,1.1,2.2,38.4
2163,Chicken or turkey salad with egg,Chicken or turkey salad with egg,27446220,7,85,17,2.66,92,64.0,0.4,105,0,3.608,13.85,19,0.146,14.3,2.01,0.044,64.06,4.806,9.024,3.236,18.06,21,0.046,0.57,14,135,199,450,0.9,27,0.29,0.143,0.7,0.99,41.3
2172,Chicken or turkey garden salad,"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",27446300,220,1850,1,2.84,29,26.6,1.0,1427,230,3.503,10.22,2,0.088,8.1,1.25,0.062,84.94,0.493,0.223,0.311,1.33,28,0.047,0.68,22,102,261,132,0.44,165,0.09,0.171,6.1,0.44,71.3
2174,Chicken or turkey garden salad with bacon and cheese,"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",27446315,156,1847,1,2.78,34,25.8,0.9,1588,165,2.94,11.08,33,0.129,10.5,1.07,0.076,79.36,1.646,0.51,2.563,5.61,97,0.048,0.72,23,137,251,224,0.83,193,0.21,0.164,6.0,0.5,78.8
2176,Chicken or turkey garden salad with cheese,"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",27446330,160,1898,1,2.8,32,23.7,0.9,1632,169,2.727,10.4,34,0.125,9.2,1.1,0.059,81.29,1.137,0.305,2.204,4.52,100,0.046,0.72,23,129,243,172,0.75,198,0.18,0.152,6.1,0.5,81.0
2178,Asian chicken or turkey garden salad,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",27446350,24,1264,94,9.42,27,29.1,2.0,1349,0,3.794,11.53,2,0.169,9.8,2.97,0.109,72.77,2.781,1.113,0.947,5.4,43,0.104,1.24,36,126,265,174,0.6,112,0.09,0.164,9.8,1.81,64.3
2179,Asian chicken or turkey garden salad with crispy noodles,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",27446355,23,1513,90,7.91,24,27.6,1.9,1616,0,3.345,10.36,1,0.168,8.1,2.97,0.088,75.54,2.79,1.171,0.8,5.27,46,0.111,1.16,38,117,269,165,0.59,132,0.08,0.158,10.2,1.84,77.4
2180,Chicken or turkey caesar garden salad,"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",27446360,18,2149,0,2.71,23,22.9,1.0,2242,435,2.598,8.68,9,0.098,7.1,0.96,0.062,85.45,0.568,0.231,0.751,1.95,61,0.051,0.89,24,101,264,262,0.53,189,0.11,0.15,8.4,0.54,109.3
2186,Crab salad,Crab salad,27450010,0,62,1,1.19,58,49.8,0.4,67,0,1.47,9.44,4,0.065,22.3,0.57,0.02,71.76,3.552,9.382,2.531,15.89,57,0.425,0.35,21,129,200,459,2.0,9,1.71,0.1,4.6,1.68,40.4
2187,Lobster salad,Lobster salad,27450020,0,60,1,1.15,85,50.9,0.4,65,0,1.035,10.33,4,0.026,38.9,0.55,0.02,71.22,3.493,9.094,2.451,15.4,61,0.826,0.24,25,107,187,504,2.19,8,0.77,0.083,2.8,1.25,38.8
2188,Salmon salad,Salmon salad,27450030,7,87,17,2.66,38,55.1,0.4,78,0,3.569,10.86,12,0.117,18.3,1.98,0.019,67.51,3.957,9.527,2.762,17.36,125,0.053,0.47,19,190,244,504,0.47,20,2.37,0.178,0.7,1.07,43.0
2189,Shrimp chow mein or chop suey,"Shrimp chow mein or chop suey, no noodles",27450040,18,97,0,4.27,73,57.4,0.8,116,0,1.262,8.8,31,0.072,17.5,1.72,0.024,83.64,0.394,0.806,0.372,1.69,48,0.111,0.38,19,126,148,263,0.69,40,0.58,0.14,4.7,1.09,12.5
2190,Tuna salad,"Tuna salad, made with mayonnaise",27450060,7,91,18,2.82,27,23.7,0.4,81,0,5.173,10.12,12,0.061,35.3,2.07,0.022,69.76,3.52,9.293,2.52,15.85,20,0.041,0.99,15,81,154,414,0.41,20,1.34,0.183,0.7,0.93,44.7
2199,Shrimp salad,Shrimp salad,27450070,0,64,1,1.22,133,48.9,0.4,69,0,0.355,10.47,3,0.026,24.0,0.58,0.012,69.65,3.634,9.838,2.588,16.6,83,0.142,1.15,19,107,110,695,1.03,8,0.39,0.027,5.1,1.31,41.4
2200,Seafood salad,Seafood salad,27450080,0,62,1,1.18,92,49.9,0.4,67,0,0.96,10.08,3,0.039,28.6,0.56,0.017,70.89,3.558,9.43,2.522,15.95,67,0.472,0.57,22,114,166,579,1.75,9,0.96,0.07,4.2,1.41,40.2
2201,Tuna salad with cheese,Tuna salad with cheese,27450090,7,82,16,2.78,34,23.0,0.4,73,0,4.684,11.37,41,0.097,34.7,1.91,0.023,66.6,3.894,8.519,4.11,17.58,86,0.04,0.91,16,117,146,437,0.72,49,1.32,0.172,0.7,0.92,40.7
2202,Tuna salad with egg,Tuna salad with egg,27450100,7,84,17,2.67,56,46.6,0.4,104,0,4.738,10.33,23,0.099,34.9,1.99,0.026,70.17,3.568,8.623,2.583,15.4,23,0.039,1.01,14,88,151,389,0.46,31,1.32,0.178,0.7,0.94,40.9
2203,Shrimp garden salad,"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",27450110,191,1609,3,2.63,124,71.1,0.9,1292,200,0.404,8.2,22,0.118,17.9,1.25,0.042,85.91,0.635,0.447,0.55,2.04,68,0.103,1.22,22,96,184,277,0.82,164,0.37,0.078,6.5,0.74,61.9
2205,Crab salad made with imitation crab,Crab salad made with imitation crab,27450130,0,64,1,8.58,19,15.4,0.6,69,0,0.384,4.12,3,0.057,11.5,3.65,0.023,69.02,3.744,9.644,2.62,16.28,18,0.029,0.29,24,149,115,526,0.23,9,0.3,0.085,3.1,0.86,41.9
2207,Seafood garden salad with seafood,"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",27450180,2,1430,2,2.43,61,35.5,0.9,1537,0,0.933,7.68,0,0.078,16.7,0.98,0.041,88.23,0.049,0.223,0.093,0.5,65,0.235,1.02,26,97,217,271,1.18,119,0.73,0.1,10.3,0.81,76.1
2211,Oysters Rockefeller,Oysters Rockefeller,27450250,0,2899,0,9.27,34,48.5,1.9,6243,0,1.822,7.65,33,0.161,16.8,1.2,0.147,73.97,2.058,1.079,3.184,7.07,106,1.432,3.41,47,107,253,434,18.94,275,4.2,0.119,1.9,1.93,224.1
2212,Lomi salmon,Lomi salmon,27450310,48,268,0,3.31,19,34.9,1.0,164,1219,2.623,7.55,6,0.084,11.7,1.82,0.035,86.48,0.439,0.544,0.321,1.86,88,0.063,0.51,18,135,270,145,0.4,30,1.54,0.158,8.9,0.53,23.1
